BNpcBaseId,BNpcNameId,TerritoryTypeId,Position,Subtype
0,0,478,6.8;5;-51.206932,0
13498,1403,478,7.3;5.5;-28.081217,0
13498,10261,478,6.8;5.1;-49.76044,0
13498,10261,478,5.8;7.1;50.67678,0
13498,10261,478,5.6;6.1;1.9677291,0
13498,10261,478,7.3;6.8;35.869488,0
1008,1398,478,5.5;6;-5.7660084,0
13498,1400,478,5.7;6.2;4.8263564,0
1008,1399,478,7;5.9;-8.956548,0
14576,2113,1043,14;10;-60.50208,0
14568,2105,1043,14.8;9.5;-85.93884,0
14568,2105,1043,12.3;10.1;-54.79517,0
14572,2109,1043,13.9;10;-61.45065,0
14540,2109,1043,11.4;10.5;-34.66364,0
14573,2110,1043,13.1;9.9;-65.23045,0
14573,2110,1043,10.1;10.5;-33.83786,0
14570,2107,1043,13.2;9.9;-66.08495,0
14575,2112,1043,12.4;10.2;-50.0483,0
14575,2112,1043,9.9;10.4;-39.62775,0
14539,2106,1043,11.5;10.4;-37.40211,0
14569,2106,1043,10.2;14.1;143.4541,0
14569,2106,1043,10;10.4;-41.21976,0
14538,557,1043,11.4;10.4;-38.65112,0
14668,297,1043,11.3;10.6;-28.86134,0
14664,297,1043,9.9;10.3;-46.43575,0
6358,108,1043,11.5;12.6;69.047,0
6358,108,1043,10.2;13.6;120.6836,0
6358,108,1043,10;14.7;174.9447,0
14618,108,1043,10.1;10.8;-18.45243,0
14578,269,1043,11.2;12.6;70.55878,0
14578,269,1043,10.2;14;139.3789,0
14663,269,1043,11.5;9.9;-62.39828,0
14577,2121,1043,10.8;13.4;112.0469,0
14574,2111,1043,10.1;15.3;206.3782,0
14571,2108,1043,10.2;15.3;205.1994,0
14541,2116,1043,10.9;11.7;25.11024,0
14580,1486,1043,11.3;9.2;-97.4739,0
14542,2118,1043,9.1;10.6;-31.47353,0
13498,10261,130,8.4;7.8;-167.67894,0
13498,10261,130,10.7;10.5;-32.576,0
13498,10261,130,9;9.3;-96.070694,0
13498,10261,130,10.5;9.3;-96.780594,0
1008,1398,130,9.1;9.1;-104.09976,0
1008,1398,130,8.1;9.3;-96.02396,0
1008,1398,130,8.4;7.8;-170.61617,0
1008,1398,130,10.5;8.4;-141.70258,0
13498,1401,130,9.3;9.1;-102.32339,0
1008,1401,130,8.4;7.9;-166.0435,0
13498,1400,130,8.4;7.8;-170.67863,0
13498,1400,130,9.8;8.8;-121.8756,0
1008,1400,130,8.6;9.2;-98.57335,0
1008,1399,130,8.3;7.9;-162.93132,0
1008,1399,130,10.5;8.6;-131.5164,0
1008,1399,130,9.4;8.9;-113.81217,0
1008,5478,130,10.5;9.1;-103.57468,0
13498,5478,130,8.4;7.8;-170.48526,0
13498,5478,130,8.7;9.4;-90.95308,0
13498,1402,130,8.8;8.4;-140.77162,0
13498,1402,130,9.8;8.6;-128.51352,0
13498,5478,131,14;11;-9.508053,0
13498,10261,131,11.7;10.5;-36.538666,0
13498,10261,131,14;10.1;-54.81712,0
0,0,131,14.2;10.3;-43.691586,0
1008,1398,131,14.2;10.3;-45.012844,0
1008,1398,131,12.1;11.8;30.788685,0
13498,1402,131,13.3;9.2;-101.13324,0
