BNpcBaseId,BNpcNameId,TerritoryTypeId,Position,Subtype
194,274,145,15.9;23.3;91.43978,18
194,274,145,15.6;22;30.572905,25
194,274,145,16.9;22.1;33.149723,10
194,274,145,16.6;27.9;322.38525,12
194,274,145,18.2;22.3;45.72954,13
194,274,145,19.4;21.9;24.294264,28
194,274,145,17.9;21.3;-7.4210835,1
194,274,145,19;24.4;150.3401,14
194,274,145,23.4;27.2;287.90787,12
206,306,145,15.8;25.5;204.02818,22
206,306,145,15.9;24.1;134.26419,21
206,306,145,14.1;26.6;257.1811,24
206,306,145,14.1;21.4;-1.3932948,22
206,306,145,14.1;25.6;208.77588,3
206,306,145,15.3;27.3;295.46588,30
206,306,145,13;27.6;309.55115,20
206,306,145,12.7;26.1;235.50879,27
206,306,145,13.2;28.9;373.96295,18
206,306,145,11.7;26.7;263.12454,14
206,306,145,11.8;27.7;314.19485,4
206,306,145,15.1;20.1;-68.66487,3
206,306,145,12.4;19.5;-95.8479,15
206,306,145,12.8;15.9;-278.3602,3
206,306,145,11;18.3;-156.99307,15
206,306,145,14.1;20.4;-50.3669,24
206,306,145,11.4;19.3;-107.9197,25
793,1275,145,14.8;22.3;42.91278,24
792,1275,145,12.8;24.9;175.6361,28
791,1275,145,12.5;22.4;50.18513,10
131,113,145,14;22;30.78135,13
131,113,145,15.2;25.1;181.97554,16
131,113,145,18.1;26.4;246.13344,13
131,113,145,14.7;27.3;294.29388,11
131,113,145,13;26.3;242.4097,32
131,113,145,12.4;27.8;317.55746,9
131,113,145,11.7;25.5;201.58473,15
131,113,145,14.8;29.5;402.12387,28
131,113,145,13.5;29.4;397.74435,16
131,113,145,15.8;20.5;-48.681637,4
131,113,145,11.3;18.4;-150.31273,4
131,113,145,17.3;20.1;-65.9118,18
131,113,145,18.9;23.5;103.67049,23
131,113,145,18.8;20.3;-55.40797,19
131,113,145,19.6;25.2;189.03258,7
131,113,145,23;28.7;364.27576,56
193,273,145,15.4;22;26.505327,18
193,273,145,16;23.5;102.77475,12
193,273,145,17.4;21.5;4.1271605,5
193,273,145,16.4;28.7;365.03162,12
193,273,145,18.4;22.6;57.291634,8
193,273,145,19.4;21.7;14.585639,12
193,273,145,18.3;24.8;169.9758,5
193,273,145,23.3;27;278.89252,4
41,1199,145,12.8;21.9;25.076675,10
41,1199,145,11.7;21.4;-1.2132428,4
41,1199,145,10.9;23.7;113.266846,35
41,1199,145,11.9;23.2;88.74141,26
138,302,145,16.5;25.7;211.0373,15
138,302,145,17.6;25.8;219.5683,1
138,302,145,16.8;26.8;266.89612,26
21,1198,145,14.9;18.9;-124.62379,5
21,1198,145,13.8;17.1;-218.8968,8
18,319,145,15;17.2;-211.74988,24
18,319,145,14.5;16.2;-262.38263,24
19,322,145,14.9;17;-222.62877,1
21,1349,145,12;19;-122.586205,10
12,301,145,21.5;19.9;-77.96842,18
12,301,145,22.8;19.8;-83.257706,3
203,272,145,22.1;22.3;41.620735,32
203,272,145,23.4;20.2;-60.11134,35
203,272,145,23.3;21.5;2.6188045,2
203,272,145,24.5;22.3;43.75571,46
203,272,145,26;22.1;32.365295,15
1343,1245,145,22.3;21.3;-6.7476,23
36,296,145,22.2;20.2;-61.15287,22
36,296,145,22.3;22.3;43.316677,4
36,296,145,22.9;21.3;-5.52106,21
36,296,145,23.4;19.7;-85.5078,30
36,296,145,24;22.5;53.27395,41
36,296,145,24.6;20.2;-62.0124,47
36,296,145,24.7;18.7;-138.51659,53
36,296,145,25.2;21.5;3.9739592,59
36,296,145,26.2;21.6;9.316723,38
36,296,145,26.1;18.7;-138.98112,9
170,268,145,23.3;23;76.87147,7
170,268,145,23.5;24.4;146.87645,28
799,1255,145,23.8;22.4;50.3241,38
181,281,145,24;19.1;-117.934456,11
181,281,145,25.7;17.9;-176.43758,15
168,251,145,24.6;20.9;-26.971245,48
168,251,145,25;19.9;-76.31041,55
167,256,145,24.9;20.3;-58.21678,56
352,1309,145,26.2;19;-121.45999,32
353,1311,145,26.3;19.1;-117.64622,45
354,1310,145,26.6;18.7;-136.59622,22
3198,2942,145,26.6;19.3;-106.90484,23
166,1177,145,14.7;26.2;237.03787,16
3181,2925,145,22.7;19.6;-89.15677,19
3181,2925,145,17.3;21.3;-5.7935038,2
952,0,145,12.3;22.7;64.24153,13
952,0,145,26.5;24.8;169.1533,33
13498,10261,145,13;22.9;74.90114,8
13498,10261,145,26.5;24.9;172.11705,50
204,271,145,25.5;24.5;154.47935,52
204,271,145,27.1;23.7;111.47077,23
204,271,145,27.8;24.8;166.48071,3
204,271,145,25.2;26.5;253.25064,1
204,271,145,29.5;24.2;137.61975,2
204,271,145,30.6;24.2;137.73494,30
399,634,145,27.2;24.2;136.20638,40
399,634,145,26.8;26.4;247.45694,55
399,634,145,29.2;25.3;192.59187,47
399,634,145,29.7;24;127.1852,52
399,634,145,29.1;26.7;262.0321,40
399,634,145,30.3;25.5;202.43526,55
399,634,145,31.1;26.6;260.88724,35
188,275,145,28.2;25.5;201.41554,36
188,275,145,29.4;26.5;254.62871,1
188,275,145,30.7;26.7;265.21466,17
188,275,145,27.2;26;229.02563,52
87,83,153,23.4;18.2;-160.70395,25
87,83,153,23;19.7;-88.96961,40
