ItemResultId,ItemRequirement1Id,ItemRequirement2Id
7715,7717,7716
7715,7717,7718
7715,7717,7719
7715,7717,7728
7715,7717,7729
7715,7717,7731
7715,7717,7739
7715,7718,7732
7715,7718,7741
7715,7718,7742
7715,7718,8170
7715,7718,8171
7715,7718,8172
7715,7718,8173
7715,7719,7732
7715,7719,8170
7715,7719,8172
7715,7719,8173
7715,7720,8174
7715,7720,8177
7715,7720,8183
7715,7720,15856
7715,7720,15867
7715,7720,15870
7715,7725,7720
7715,7726,7720
7715,7727,7720
7715,7730,7717
7715,7732,7716
7715,7733,7716
7715,7733,7718
7715,7733,7719
7715,7735,7720
7715,7736,7720
7715,7737,7720
7715,7738,7717
7715,7740,7717
7715,7741,7716
7715,7741,7719
7715,7742,7716
7715,7742,7719
7715,8169,7716
7715,8169,7718
7715,8169,7719
7715,8170,7716
7715,8171,7716
7715,8171,7719
7715,8172,7716
7715,8173,7716
7715,8175,7720
7715,8176,7720
7715,8178,7720
7715,8179,7720
7715,8180,7720
7715,8182,7720
7715,8572,7720
7715,15855,7720
7715,15865,7720
7715,15866,7720
7715,15868,7720
7715,15869,7720
7715,17547,7720
7715,30364,7717
7715,30364,7732
7715,30364,7733
7715,30364,7741
7715,30364,7742
7715,30364,8169
7715,30364,8170
7715,30364,8171
7715,30364,8172
7715,30364,8173
7717,7715,8174
7717,7715,8177
7717,7715,8183
7717,7715,15856
7717,7715,15867
7717,7715,15870
7717,7718,7716
7717,7718,7719
7717,7718,7728
7717,7718,7729
7717,7718,7731
7717,7718,7739
7717,7719,7716
7717,7719,7728
7717,7719,7729
7717,7719,7739
7717,7725,7715
7717,7726,7715
7717,7727,7715
7717,7728,7716
7717,7729,7716
7717,7730,7716
7717,7730,7718
7717,7730,7719
7717,7731,7716
7717,7731,7719
7717,7735,7715
7717,7736,7715
7717,7737,7715
7717,7738,7716
7717,7738,7718
7717,7738,7719
7717,7738,30364
7717,7739,7716
7717,7740,7716
7717,7740,7718
7717,7740,7719
7717,8175,7715
7717,8176,7715
7717,8178,7715
7717,8179,7715
7717,8180,7715
7717,8182,7715
7717,8572,7715
7717,15855,7715
7717,15865,7715
7717,15866,7715
7717,15868,7715
7717,15869,7715
7717,17547,7715
7717,30364,7716
7717,30364,7718
7717,30364,7719
7717,30364,7728
7717,30364,7729
7717,30364,7730
7717,30364,7731
7717,30364,7739
7717,30364,7740
7720,7715,7732
7720,7715,8170
7720,7715,8172
7720,7717,7715
7720,7717,7732
7720,7717,7733
7720,7717,7742
7720,7717,8169
7720,7717,8170
7720,7717,8171
7720,7717,8172
7720,7717,8173
7720,7718,7734
7720,7718,7743
7720,7718,7753
7720,7719,7734
7720,7719,7753
7720,7721,8174
7720,7721,8177
7720,7721,8178
7720,7721,8183
7720,7721,15856
7720,7721,15867
7720,7721,15870
7720,7725,7721
7720,7726,7721
7720,7727,7721
7720,7733,7715
7720,7734,7716
7720,7735,7721
7720,7736,7721
7720,7737,7721
7720,7742,7715
7720,7743,7716
7720,7743,7719
7720,7744,7716
7720,7744,7718
7720,7744,7719
7720,7746,7716
7720,7746,7718
7720,7746,7719
7720,7751,7716
7720,7751,7718
7720,7751,7719
7720,7753,7716
