ItemId,FateId
7851,120
7851,121
7851,122
7851,123
7851,124
7851,125
7851,126
7851,127
7851,128
7851,131
7851,136
7851,137
7851,139
7851,140
7851,141
7851,142
7854,143
7854,144
7854,149
7854,150
7854,152
7860,174
7860,178
7860,180
7854,183
7860,183
7860,184
7860,185
7860,187
7860,188
7860,189
7855,191
7855,192
7855,193
6174,194
7855,194
7855,195
6164,196
7851,196
7851,197
7854,198
7854,199
7860,205
7860,206
7860,207
7851,208
7851,209
7854,212
7854,213
7854,214
7860,216
7854,217
7854,218
7856,220
7856,221
7856,222
7856,223
7856,225
7856,226
7856,227
7856,229
7856,231
7856,233
7856,235
7856,237
7856,238
7856,239
7856,240
7859,245
7859,246
7859,249
7859,250
7859,251
7859,257
7859,260
7859,261
7859,262
7859,264
7859,265
7862,289
7862,290
7862,291
7862,295
7862,297
7862,298
7862,303
7862,304
7862,306
7862,308
7862,309
7862,310
7862,312
7853,314
7853,317
7853,320
7853,321
7853,322
7853,323
7853,329
7853,331
7853,332
7859,333
6195,335
7862,336
7857,342
7857,343
7857,344
7857,345
7857,346
7857,347
7857,348
7857,349
7857,350
7857,352
7857,353
7857,354
7857,355
7857,356
7857,357
7857,361
7857,366
7857,367
7861,370
7861,373
7861,374
7861,375
7861,376
7861,377
7861,378
7861,379
7861,381
7861,383
7861,385
7861,389
7861,393
7855,394
7855,395
7855,397
7855,398
7855,400
7855,401
7855,402
7855,406
7855,407
7855,409
7855,412
7855,413
7852,419
7852,420
7852,421
7852,422
7852,423
7852,424
7852,427
7852,429
7852,430
7852,431
7852,432
7852,434
7852,436
7852,437
7852,441
7853,451
7853,452
7853,453
7853,454
7852,455
7852,456
6155,506
7855,540
7855,541
7855,542
7855,543
7852,545
7852,546
7852,548
7852,549
7852,550
7852,551
7852,552
7852,553
7852,554
7852,555
7001,557
7852,557
7852,558
7862,568
7862,569
7862,570
7862,571
7798,572
7862,572
7804,574
7862,574
7805,575
7862,575
7862,576
7862,577
7862,578
7858,580
7858,581
7858,583
7797,586
7858,586
7858,587
7858,588
7858,589
7858,591
7858,593
7858,594
7858,595
7802,597
7858,597
7858,599
7851,600
7851,601
7851,602
7851,603
7851,604
7854,607
7854,608
7854,609
7854,610
7854,611
7854,612
7854,615
7854,618
7854,619
7854,620
7854,622
7860,631
7860,632
7860,633
7860,634
6179,647
7862,650
7002,691
7854,691
7003,692
7854,692
7803,700
7858,700
13573,725
31574,725
13573,726
31574,726
13573,727
31574,727
13573,728
31574,728
13573,731
31574,731
13573,732
31574,732
13573,735
31574,735
13573,736
31574,736
13573,737
31574,737
13573,738
31574,738
13573,740
31574,740
13573,741
31574,741
13573,742
31574,742
13573,744
31574,744
13573,746
31574,746
13573,747
31574,747
13573,748
31574,748
13573,751
31574,751
13573,752
31574,752
13573,753
31574,753
13573,754
31574,754
13573,755
31574,755
13574,756
31575,756
13574,757
31575,757
12986,758
13574,758
31575,758
13574,759
31575,759
13574,760
31575,760
13574,761
31575,761
13574,762
31575,762
13574,763
31575,763
13574,764
31575,764
13574,766
31575,766
13574,767
31575,767
13574,768
31575,768
13574,769
31575,769
13574,770
31575,770
13574,771
31575,771
13574,772
31575,772
13574,773
31575,773
13574,774
31575,774
13574,775
31575,775
13574,777
31575,777
13574,778
31575,778
13574,779
31575,779
13574,780
31575,780
13574,781
31575,781
13574,782
31575,782
13574,783
31575,783
13574,784
31575,784
13574,785
31575,785
13574,786
31575,786
13569,787
31573,787
13569,788
31573,788
13569,789
31573,789
13569,791
31573,791
13569,792
31573,792
12985,793
13569,793
31573,793
13569,794
31573,794
13569,795
31573,795
13569,796
31573,796
13569,798
31573,798
13569,800
31573,800
13569,801
31573,801
13569,802
31573,802
13569,805
31573,805
13569,807
31573,807
13569,809
31573,809
13569,810
31573,810
13569,811
31573,811
13569,812
31573,812
13569,813
31573,813
13569,814
31573,814
13569,815
31573,815
13569,816
31573,816
13569,817
31573,817
13572,818
31574,818
13572,819
31574,819
13572,820
31574,820
13572,821
31574,821
13572,822
31574,822
13572,823
31574,823
13572,824
31574,824
13572,825
31574,825
13572,826
31574,826
13572,827
31574,827
13572,828
31574,828
13572,829
31574,829
13572,830
31574,830
13572,831
31574,831
13572,832
31574,832
13572,833
31574,833
13572,834
31574,834
13572,835
31574,835
13572,836
31574,836
13572,837
31574,837
12273,838
13572,838
31574,838
13570,839
31573,839
13570,840
31573,840
13570,841
31573,841
13570,842
31573,842
13570,843
31573,843
13570,844
31573,844
13570,845
31573,845
13570,846
31573,846
13570,847
31573,847
13570,851
31573,851
13570,852
31573,852
13570,853
31573,853
13570,854
31573,854
12069,855
13570,855
31573,855
13570,856
31573,856
13570,857
31573,857
13570,860
31573,860
13570,861
31573,861
13570,862
31573,862
13570,863
31573,863
13570,864
31573,864
13570,865
31573,865
13570,866
31573,866
13570,867
31573,867
13573,868
31574,868
13573,869
31574,869
13573,870
31574,870
12077,871
13573,871
31574,871
13573,872
14194,872
31574,872
13573,873
14194,873
31574,873
13573,874
14194,874
31574,874
13570,875
31573,875
12253,877
13571,877
31575,877
12253,878
13571,878
31575,878
12253,879
13571,879
31575,879
13571,880
31575,880
13571,881
31575,881
13571,882
31575,882
13571,883
31575,883
13571,884
31575,884
13571,885
31575,885
13571,886
31575,886
13571,887
31575,887
13571,888
31575,888
13571,889
31575,889
13571,890
31575,890
13571,891
31575,891
13571,892
31575,892
13571,893
31575,893
13571,894
31575,894
13571,895
31575,895
13571,897
31575,897
13571,898
31575,898
13571,899
31575,899
13571,900
31575,900
13571,901
31575,901
12252,902
13572,902
31574,902
12252,903
13572,903
31574,903
13572,904
31574,904
12252,905
13572,905
31574,905
13572,906
31574,906
13572,907
31574,907
13569,908
31573,908
13569,909
31573,909
13572,910
31574,910
20638,1103
32957,1103
20638,1104
32957,1104
20638,1105
32957,1105
20521,1106
32958,1106
32958,1107
32958,1108
20521,1109
32958,1109
32958,1110
32958,1111
32957,1112
32957,1113
32957,1114
32957,1115
32957,1116
32957,1117
32957,1118
32957,1119
32957,1120
32957,1121
32957,1122
32957,1124
32957,1125
32957,1126
32957,1127
32957,1128
17857,1129
32957,1129
32957,1130
32957,1131
32957,1132
32957,1133
32957,1134
32957,1135
32957,1136
32957,1137
32957,1138
32957,1139
32957,1140
32957,1141
32958,1142
32958,1143
32958,1144
32958,1145
32958,1146
32958,1147
32958,1148
32958,1149
32958,1150
32958,1151
32958,1152
32958,1153
32958,1154
32958,1155
