BNpcNameId,BNpcBaseId
2,16642
3,3
4,4
4,616
5,5
5,621
5,14908
6,6
6,827
6,14909
7,7
8,8
9,9
10,10
10,620
11,11
11,1674
12,12
13,12
14,14
14,518
15,16
15,1742
16,15
17,17
17,8655
19,19
19,517
20,20
20,516
21,21
22,22
23,23
24,24
24,4300
25,25
26,26
27,27
28,28
29,29
29,1503
30,30
30,549
32,32
33,33
34,34
34,1888
35,890
35,1452
36,36
37,37
37,14912
38,38
38,1037
39,39
40,40
40,1677
41,41
43,43
43,2241
44,44
45,45
45,4298
46,46
47,47
48,48
49,49
50,52
51,481
52,84
52,519
53,55
54,57
55,58
56,59
56,1679
56,1681
56,1693
56,1743
56,4034
56,4817
56,6613
56,7453
57,55
57,1645
58,61
58,1895
59,62
59,1896
60,63
60,1897
61,64
61,1898
62,65
64,762
64,2503
65,763
66,764
67,70
67,762
67,1658
67,2224
68,71
68,763
68,1583
68,2225
69,72
69,764
69,1584
69,2226
72,515
73,76
74,77
77,311
79,82
79,83
80,84
80,1646
81,85
82,86
83,87
83,145
84,88
84,147
84,148
84,595
91,98
91,99
91,100
91,101
97,1398
101,9020
101,14537
102,113
103,114
103,748
103,1596
104,115
104,308
104,1597
104,1964
104,7493
105,1965
105,7493
106,117
106,4289
107,118
108,67
108,410
108,434
108,472
108,562
108,1077
108,1078
108,1079
108,1080
108,1247
108,1248
108,1249
108,1250
108,1251
108,1252
108,1253
108,1254
108,1256
108,1335
108,1336
108,1338
108,1339
108,1340
108,1436
108,1482
108,1533
108,1539
108,2033
108,2043
108,2161
108,2201
108,2286
108,2291
108,2298
108,2363
108,2424
108,2782
108,2932
108,2947
108,2948
108,2986
108,3038
108,3365
108,3543
108,3589
108,3590
108,3591
108,3592
108,3593
108,3594
108,3595
108,3596
108,3597
108,3599
108,3601
108,3664
108,3665
108,3706
108,3707
108,3711
108,3823
108,3833
108,3965
108,4102
108,4414
108,4447
108,4571
108,4605
108,4628
108,4724
108,4734
108,4867
108,4907
108,4915
108,4916
108,5035
108,5036
108,5076
108,5121
108,5197
108,5231
108,5320
108,5322
108,5447
108,5448
108,5682
108,5683
108,5684
108,5685
108,5718
108,5763
108,5990
108,6082
108,6134
108,6135
108,6136
108,6358
108,6574
108,6576
108,6617
108,6743
108,6770
108,6783
108,6885
108,6894
108,6905
108,7074
108,7077
108,7114
108,7177
108,7197
108,7198
108,7247
108,7257
108,7340
108,7383
108,7392
108,7395
108,7427
108,7469
108,7481
108,7482
108,7483
108,7484
108,7485
108,7570
108,7623
108,7624
108,7625
108,7626
108,7627
108,7628
108,7629
108,7630
108,7631
108,7633
108,7635
108,7636
108,7639
108,7640
108,7710
108,7711
108,7716
108,7746
108,7748
108,7798
108,7855
108,7869
108,8001
108,8003
108,8008
108,8021
108,8024
108,8025
108,8062
108,8136
108,8271
108,8272
108,8389
108,8466
108,8467
108,8505
108,8600
108,8601
108,8602
108,8603
108,8618
108,8651
108,8652
108,8716
108,8717
108,8718
108,8719
108,8743
108,8790
108,8870
108,9020
108,9234
108,9494
108,9620
108,9644
108,9645
108,9736
108,9737
108,9738
108,9739
108,9740
108,9742
108,9744
108,9754
108,9771
108,9772
108,10047
108,10104
108,10111
108,10112
108,10113
108,10114
108,10115
108,10152
108,10153
108,10154
108,10187
108,10192
108,10459
108,10553
108,10554
108,10555
108,10566
108,10648
108,10725
108,10766
108,10769
108,10770
108,10777
108,10778
108,10779
108,10780
108,10781
108,10782
108,10783
108,10817
108,10818
108,10819
108,10820
108,10827
108,10828
108,10829
108,10896
108,10909
108,10911
108,10949
108,10958
108,10970
108,10971
108,10973
108,10975
108,10978
108,10991
108,11002
108,11012
108,11179
108,11180
108,11208
108,11222
108,11224
108,11225
108,11226
108,11227
108,11284
108,11285
108,11286
108,11287
108,11288
108,11289
108,11350
108,11398
108,11399
108,11400
108,11463
108,11464
108,11465
108,11471
108,11501
108,11549
108,11561
108,11562
108,11578
108,11579
108,11618
108,11722
108,11758
108,11759
108,11791
108,11806
108,11807
108,11808
108,11809
108,11848
108,11897
108,11937
108,11948
108,11949
108,11950
108,11951
108,11952
108,11986
108,12035
108,12036
108,12080
108,12081
108,12082
108,12083
108,12084
108,12085
108,12086
108,12087
108,12088
108,12089
108,12090
108,12091
108,12105
108,12106
108,12107
108,12108
108,12109
108,12118
108,12243
108,12498
108,12499
108,12553
108,12554
108,12609
108,12682
108,12686
108,12687
108,12726
108,12756
108,12764
108,12807
108,12856
108,12905
108,12906
108,13011
108,13012
108,13030
108,13066
108,13075
108,13076
108,13077
108,13078
108,13083
108,13093
108,13094
108,13095
108,13096
108,13098
108,13099
108,13100
108,13101
108,13102
108,13123
108,13124
108,13125
108,13126
108,13139
108,13141
108,13142
108,13178
108,13231
108,13232
108,13241
108,13242
108,13243
108,13244
108,13245
108,13246
108,13247
108,13248
108,13249
108,13250
108,13259
108,13279
108,13281
108,13300
108,13331
108,13332
108,13333
108,13381
108,13382
108,13383
108,13384
108,13385
108,13400
108,13404
108,13406
108,13407
108,13408
108,13409
108,13420
108,13421
108,13424
108,13453
108,13563
108,13564
108,13565
108,13566
108,13567
108,13568
108,13569
108,13570
108,13603
108,13604
108,13605
108,13666
108,13675
108,13676
108,13755
108,13786
108,13822
108,13843
108,13896
108,13899
108,13933
108,13934
108,13935
108,13963
108,14125
108,14126
108,14239
108,14241
108,14242
108,14295
108,14338
108,14339
108,14340
108,14341
108,14402
108,14403
108,14409
108,14410
108,14417
108,14418
108,14461
108,14601
108,14602
108,14614
108,14617
108,14618
108,14639
108,14640
108,14641
108,14642
108,14671
108,14672
108,14707
108,14709
108,14787
108,14792
108,14804
108,14823
108,14824
108,14887
108,14900
108,14987
108,14988
108,14989
108,14990
108,14991
108,14992
108,14993
108,14994
108,15046
108,15047
108,15050
108,15051
108,15065
108,15076
108,15562
108,15615
108,15616
108,15617
108,15618
108,15620
108,15622
108,15628
108,15629
108,15630
108,15649
108,15650
108,15768
108,15984
108,15987
108,16023
108,16044
108,16102
108,16103
108,16104
108,16105
108,16152
108,16156
108,16161
108,16211
108,16219
108,16229
108,16292
108,16336
108,16345
108,16346
108,16347
108,16408
108,16424
108,16516
108,16522
108,16527
108,16528
108,16553
108,16554
108,16562
108,16565
108,16573
108,16582
108,16608
108,16656
108,16657
108,16686
108,16695
108,16726
108,16727
108,16760
108,16776
108,16778
108,16779
108,16780
108,16798
108,16838
108,16840
108,16844
108,16853
108,16870
108,16924
108,16925
108,16932
108,16994
108,17054
108,17072
108,17073
108,17074
108,17075
108,17081
108,17085
108,17093
108,17097
108,17195
108,17315
108,17328
108,17341
108,17342
108,17343
108,17368
108,17390
108,17391
108,17392
108,17393
108,17394
108,17395
108,17397
108,17404
108,17604
108,17760
108,17784
108,17930
108,17963
108,17964
108,17965
108,17966
108,17967
108,17978
108,17993
108,18068
108,18070
108,18099
108,18127
108,18133
108,18152
108,18153
108,18154
108,18182
108,18183
108,18185
108,18189
108,18309
108,18319
108,18356
108,18357
108,18376
108,18415
108,18468
108,18498
108,18499
108,18513
108,18539
108,18625
108,18626
108,18627
108,18628
108,18629
108,18630
108,18631
108,18632
108,18633
108,18634
108,18635
108,18636
108,18637
108,18638
108,18639
108,18640
108,18641
108,18664
108,18665
108,18669
108,18674
108,18759
108,18878
108,18879
108,18880
108,18881
108,18882
108,18883
108,18884
108,18885
108,18886
108,18887
108,18914
108,18966
108,18967
108,18968
108,18969
108,18970
