1,1000100,132,11.7;13.5
2,1000101,132,11.7;13.4
3,1000105,148,22.5;22.2
4,1000106,132,11.8;13.3
5,1000107,132,11.7;13.3
6,1000109,132,11.8;13.5
7,1000122,132,13;13.8
8,1000123,132,14;14.4
9,1000125,132,10.1;11.2
10,1000129,148,20.5;20.8
11,1000136,132,11.8;12.6
12,1000139,132,11.9;13.6
13,1000140,132,11.9;13.1
14,1000146,132,12.2;12.2
15,1000148,132,10.8;12.1
16,1000149,132,11;12.2
17,1000153,132,10.3;12.3
18,1000156,132,11.3;11
19,1000159,132,12;11.6
20,1000161,132,9.6;12
21,1000162,132,9.6;12.3
22,1000168,132,9.7;11.1
23,1000170,133,12.6;6.1
24,1000171,132,8.9;13.1
25,1000172,154,28.6;26.1
26,1000179,133,8.1;10.6
27,1000184,132,11.4;11.8
28,1000185,132,11;11.1
29,1000193,132,10.1;11.3
30,1000194,132,10.9;12
31,1000195,132,15.1;12.3
32,1000197,132,15.2;12.1
33,1000199,132,15.4;11.8
34,1000200,132,15.4;11.9
35,1000204,132,15.7;11.8
36,1000206,132,15.1;12
37,1000214,133,14.2;9.9
38,1000215,133,14.3;9.8
39,1000216,133,14.4;9.6
40,1000217,133,14.6;9.7
41,1000218,133,14.5;10
42,1000220,148,21.8;21.1
43,1000222,152,17.2;27.4
44,1000227,133,14.6;9.9
45,1000228,133,14.6;9.9
46,1000230,154,29.9;18.9
47,1000232,133,14.5;8.5
48,1000233,133,14.6;9.3
49,1000234,154,29.9;19
50,1000235,133,6.6;11
51,1000236,133,14.4;8.9
52,1000238,133,14.3;8.8
53,1000239,133,14.6;8.8
54,1000243,133,14.6;8.6
55,1000244,154,29.9;19
56,1000248,133,14.1;6.2
57,1000251,133,14.1;5.8
58,1000254,133,14.3;5.8
59,1000257,133,14.2;6.6
60,1000263,133,14;5.7
61,1000267,133,13.3;6.9
62,1000277,152,23.5;25.2
63,1000286,133,10.1;8.8
64,1000292,133,6.5;8.3
65,1000294,133,6.4;8.3
66,1000295,133,6.5;8.1
67,1000297,133,6.5;7.5
68,1000300,133,7.7;8
69,1000301,133,9.4;7.7
70,1000311,133,7.3;9.2
71,1000312,153,26.8;17.3
72,1000315,133,7.9;10.8
73,1000323,133,6.5;11
74,1000324,154,28.1;20
75,1000327,153,25;20.6
76,1000328,153,24.5;20
77,1000331,153,24.6;20.4
78,1000332,153,25.6;20.6
79,1000334,153,25;20.6
80,1000338,153,26.8;16.4
81,1000340,153,27;16.3
82,1000341,153,27.4;16.5
83,1000352,133,12.5;8.2
84,1000357,133,12.6;7.8
85,1000370,132,12;13.5
86,1000371,132,12;13.4
87,1000372,132,12;13.4
88,1000375,132,12;13.1
89,1000384,132,11.8;13.4
90,1000389,132,12;13.1
91,1000391,133,12.5;8.3
92,1000392,132,10.8;12.1
93,1000393,153,19.6;18.1
94,1000396,148,23.1;19.4
95,1000408,148,23.6;19.9
96,1000409,148,23.4;20
97,1000411,148,24.1;20.1
98,1000420,153,24.4;20
99,1000421,148,23.4;19.9
100,1000423,132,15.8;12.1
101,1000429,133,12.3;8.5
102,1000430,148,25.5;19.4
103,1000432,148,23.6;20
104,1000435,148,18.9;20.5
105,1000436,148,17.6;19.1
106,1000437,152,21.8;25.9
107,1000438,153,17.2;22.2
108,1000439,153,17.2;22.2
109,1000448,154,15.7;27.2
110,1000449,148,25.5;19.3
111,1000455,148,26.8;21.2
112,1000456,148,15.4;24
113,1000460,133,8;11.1
114,1000461,148,27.2;20.8
115,1000465,148,27.4;23.8
116,1000470,148,20.3;22
117,1000471,148,20.2;21.6
118,1000473,148,20.5;20.8
119,1000474,148,20.6;22.7
120,1000476,148,22;21.7
121,1000478,148,21.7;21.9
122,1000483,148,23.1;22.8
123,1000484,148,21.5;21
124,1000491,148,22.4;26
125,1000494,148,22.4;25.8
126,1000501,148,25.1;27.9
127,1000502,148,25.1;27.8
128,1000503,148,25;28.1
129,1000505,148,25.4;27.4
130,1000507,148,25;27.7
131,1000512,148,27.7;24.6
132,1000513,148,27.5;24.6
133,1000514,148,27.4;24.9
134,1000515,148,27.3;24.9
135,1000516,148,27.1;25.2
136,1000534,148,24.1;20
137,1000535,152,9.8;23.5
138,1000536,152,16.6;27.2
139,1000540,152,16.7;27.1
140,1000542,132,11.9;13
141,1000545,152,16.6;27.2
142,1000553,152,17.7;27.3
143,1000557,152,17.3;27.5
144,1000561,152,16.8;27
145,1000563,152,21.4;25.8
146,1000576,152,21.9;25.9
147,1000578,152,23.5;25.2
148,1000579,152,21.8;25.8
149,1000580,152,21.9;25.6
150,1000584,152,22.3;26.1
151,1000585,152,21.9;26.3
152,1000587,152,21.3;26.8
153,1000590,153,18.1;19.8
154,1000594,153,18.1;19.9
155,1000595,153,17.9;19.7
156,1000597,153,18.2;19.9
157,1000598,153,18;19.7
158,1000612,154,28.6;25.7
159,1000615,152,16.5;27
160,1000617,152,21.5;26.8
161,1000619,152,17.2;26.3
